country,date,experiment_id,order_id,spend_usd,user_id,vertical
JP,20170407,12624549,5215453886230782395,1.08209,8787247273186376962,ANDROID_APPS
JP,20170407,12624549,6670032286450807246,18.034849,8787247273186376962,ANDROID_APPS
JP,20170403,12624549,595397321999330609,14.583321,8787247273186376962,ANDROID_APPS
US,20170406,12624549,4909410020527635013,14.99,7826950839755889991,ANDROID_APPS
KR,20170403,12624549,8080475457193112859,9.858489,16741898130520801182,ANDROID_APPS
KR,20170405,12624549,4449507873355422663,2.933693,16741898130520801182,ANDROID_APPS
US,20170402,12624548,237880060004535300,4.99,6256820429394480317,ANDROID_APPS
DE,20170402,12624549,8907720403040380628,5.112151,3899299526801944373,ANDROID_APPS
FR,20170401,12624548,3020421941173739517,2.76419,593711714896725467,ANDROID_APPS
ZA,20170403,12624549,13091119940723139794,4.397401,7955553163467613874,ANDROID_APPS
IT,20170401,12624549,1593533581388680355,3.799427,3454648139452205402,ANDROID_APPS
KR,20170404,12624549,6567947715133215010,9.802592,10255641854504713002,ANDROID_APPS
KR,20170405,12624548,8500135179520605501,4.889489,985537527850801595,ANDROID_APPS
KR,20170403,12624548,13310633623140811979,1.971697,985537527850801595,ANDROID_APPS
IT,20170403,12624549,7562469441302659684,3.188815,15755516750465517220,OCEAN
JP,20170402,12624549,4642561741344069994,87.867103,3046499311755741123,ANDROID_APPS
JP,20170406,12624548,8722137494713272146,11.327203,16597995695825208099,ANDROID_APPS
JP,20170401,12624548,12454751395537887583,2.151847,16597995695825208099,ANDROID_APPS
JP,20170401,12624548,442288573759375309,11.252368,16597995695825208099,ANDROID_APPS
US,20170401,12624548,1936602650333978890,8.99,11685088684206086101,ANDROID_APPS
NL,20170401,12624549,7566542097443220255,21.334427,5467112128982039949,ANDROID_APPS
BR,20170401,12624548,5746748877810015202,2.546213,9303514494910504425,ANDROID_APPS
DE,20170402,12624548,16412195634570129913,0.949856,12207972992900748175,ANDROID_APPS
DE,20170403,12624548,4627053035342639279,5.321802,12207972992900748175,ANDROID_APPS
DE,20170401,12624548,3046711135142587009,2.123837,12207972992900748175,ANDROID_APPS
US,20170402,12624548,3389998565217816080,10.66,2130304487999561433,MUSIC
US,20170402,12624548,2674620685025757856,2.99,1633149654600383683,ANDROID_APPS
US,20170401,12624549,5645410238295014293,1.99,11164036317367830916,ANDROID_APPS
AT,20170402,12624548,4608021644642237569,5.325602,17103002567032858983,ANDROID_APPS
US,20170403,12624549,4865099739363179625,19.99,11936268987816495850,ANDROID_APPS
US,20170405,12624549,15030714035079977421,17.99,11936268987816495850,ANDROID_APPS
US,20170403,12624549,1996477869138187466,19.99,11936268987816495850,ANDROID_APPS
US,20170405,12624549,6551072210743368379,19.99,11936268987816495850,ANDROID_APPS
US,20170403,12624549,16076743378107487784,19.99,11936268987816495850,ANDROID_APPS
